cnt_date,feature,hitcount
2022-07-11,WLS_WATER_LICENCED_WRK_LINE_SP,140622
2022-07-12,WLS_WATER_LICENCED_WRK_LINE_SP,140622
2022-07-13,WLS_WATER_LICENCED_WRK_LINE_SP,140631
2022-07-14,WLS_WATER_LICENCED_WRK_LINE_SP,140634
2022-07-15,WLS_WATER_LICENCED_WRK_LINE_SP,140638
2022-07-16,WLS_WATER_LICENCED_WRK_LINE_SP,140641
2022-07-17,WLS_WATER_LICENCED_WRK_LINE_SP,140641
2022-07-18,WLS_WATER_LICENCED_WRK_LINE_SP,140650
2022-07-19,WLS_WATER_LICENCED_WRK_LINE_SP,140651
2022-07-20,WLS_WATER_LICENCED_WRK_LINE_SP,140654
2022-07-21,WLS_WATER_LICENCED_WRK_LINE_SP,140659
2022-07-22,WLS_WATER_LICENCED_WRK_LINE_SP,140664
2022-07-23,WLS_WATER_LICENCED_WRK_LINE_SP,140664
2022-07-24,WLS_WATER_LICENCED_WRK_LINE_SP,140664
2022-07-25,WLS_WATER_LICENCED_WRK_LINE_SP,140664
2022-07-26,WLS_WATER_LICENCED_WRK_LINE_SP,140664
2022-07-27,WLS_WATER_LICENCED_WRK_LINE_SP,120000
2022-07-28,WLS_WATER_LICENCED_WRK_LINE_SP,140678
2022-07-29,WLS_WATER_LICENCED_WRK_LINE_SP,140681
2022-07-30,WLS_WATER_LICENCED_WRK_LINE_SP,140690
2022-07-31,WLS_WATER_LICENCED_WRK_LINE_SP,140690
2022-08-01,WLS_WATER_LICENCED_WRK_LINE_SP,140690
2022-08-02,WLS_WATER_LICENCED_WRK_LINE_SP,140690
2022-08-03,WLS_WATER_LICENCED_WRK_LINE_SP,140702
2022-08-04,WLS_WATER_LICENCED_WRK_LINE_SP,140702
2022-08-05,WLS_WATER_LICENCED_WRK_LINE_SP,140705
2022-08-06,WLS_WATER_LICENCED_WRK_LINE_SP,140705
2022-08-07,WLS_WATER_LICENCED_WRK_LINE_SP,140705
2022-08-08,WLS_WATER_LICENCED_WRK_LINE_SP,140705
2022-08-09,WLS_WATER_LICENCED_WRK_LINE_SP,140705
2022-08-10,WLS_WATER_LICENCED_WRK_LINE_SP,140729
